Producer,Model,Country,Year,Price in Germany,Battery (kilowatt-hours),Efficiency (watt-hours per kilometer),Fast_charge,Range,Top_speed,Segment
Tesla,Tesla Model Y Long Range Dual Motor,USA,2020,55970.0,75.0,172,670.0,435,217,Large
Tesla,Tesla Model 3,USA,2017,40970.0,57.5,137,700.0,420,201,Large
BYD,BYD ATTO 3,China,2021,37990.0,60.5,183,370.0,330,160,Medium
MG (SAIC Motor),MG MG4 Electric 64 kWh,China,2022,39990.0,61.7,171,630.0,360,160,Medium
Tesla,Tesla Model 3 Long Range Dual Motor,USA,2017,49990.0,75.0,149,780.0,505,201,Large
Tesla,Tesla Model Y,USA,2020,45970.0,57.5,164,580.0,350,217,Large
BMW,BMW iX xDrive40,Germany,2024,77300.0,71.0,197,480.0,360,200,Executive
Volvo,Volvo EX30 Single Motor ER,Sweden,2023,44990.0,64.0,173,550.0,370,180,Compact
Citroen,Citroen e-C3,France,2024,23300.0,44.0,176,320.0,250,135,Compact
BYD,BYD SEAL 82.5 kWh AWD Excellence,China,2022,50990.0,82.5,170,530.0,485,180,Large
BMW,BMW i4 eDrive40,Germany,2024,60500.0,80.7,157,800.0,515,190,Large
Renault,Renault Megane E-Tech EV60 220hp,France,2022,46600.0,60.0,158,530.0,380,160,Medium
BMW,BMW iX1 xDrive30,Germany,2022,55000.0,64.7,170,550.0,380,180,Medium
Hyundai,Hyundai Kona Electric 64 kWh,South Korea,2018,42900.0,64.0,164,370.0,390,167,Compact
Tesla,Tesla Model Y Performance,USA,2020,60970.0,75.0,181,640.0,415,250,Large
Kia,Kia Niro EV,South Korea,2018,45690.0,64.8,168,390.0,385,167,Medium
Rolls-Royce,Rolls-Royce Spectre,Great Britain,2023,379015.0,100.0,220,540.0,455,250,Luxury
Tesla,Tesla Model S Plaid,USA,2021,108970.0,95.0,170,780.0,560,282,Luxury
BMW,BMW iX3,Germany,2020,67300.0,74.0,192,520.0,385,180,Large
Hongqi,Hongqi E-HS9 99 kWh,China,2020,79995.0,90.0,243,430.0,370,200,Luxury
Fiat,Fiat 500e Hatchback 42 kWh,Italy,2020,34990.0,37.3,159,390.0,235,150,Compact
BYD,BYD HAN,China,2020,69020.0,85.4,180,450.0,475,180,Executive
Tesla,Tesla Model S Dual Motor,USA,2014,93970.0,95.0,165,800.0,575,250,Luxury
BYD,BYD DOLPHIN 60.4 kWh,China,2021,32990.0,60.5,178,340.0,340,160,Medium
CUPRA,CUPRA Born 150 kW - 58 kWh,Spain,2021,39370.0,58.0,166,470.0,350,160,Medium
Dacia,Dacia Spring Electric 45,Romania,2021,16900.0,25.0,152,180.0,165,125,Mini
BMW,BMW i5 eDrive40 Sedan,Germany,2023,70200.0,81.2,171,710.0,475,193,Executive
BMW,BMW i4 M50,Germany,2021,72100.0,80.7,179,700.0,450,225,Large
Opel,Opel Astra Electric,Germany,2023,41990.0,50.8,167,490.0,305,170,Medium
MG (SAIC Motor),MG ZS EV Long Range,China,2019,37990.0,68.3,185,420.0,370,175,Compact
Audi,Audi Q4 e-tron 40,Germany,2021,51900.0,76.6,189,630.0,405,160,Medium
BMW,BMW i7 xDrive60,Germany,2024,139900.0,101.7,199,760.0,510,240,Luxury
Toyota,Toyota bZ4X FWD,Japan,2022,47490.0,64.0,188,510.0,340,160,Medium
Volvo,Volvo EX30 Single Motor,Sweden,2023,39790.0,49.0,175,430.0,280,180,Compact
Smart,Smart #1,China,2022,42490.0,62.0,185,520.0,335,180,Compact
Kia,Kia EV6 Long Range 2WD,South Korea,2021,49990.0,74.0,180,1070.0,410,185,Medium
